# ----------------------------------------
# canadanewyork
# URL's To Check
# 20130303-20130402
# ----------------------------------------

Landing Page,Visits
/,"2,283"
/artists,409
/artists/katherine-bernhardt,166
/artists/michael-williams,159
/artists/joe-bradley,142
/Artists/joe-bradley,99
/artists/sarah-braman,90
/contact,90
/artists/matt-connors,84
/artists/michael-mahalchick,82
/artists/xylor-jane,82
/artists/joanna-malinowska,60
/exhibitions,53
/artists/robin-peck,38
/artists/carrie-moyer,34
/artists/lily-ludlow,27
/exhibitions/2012/gerald-ferguson-work-january-7-february-12th-2012,27
/artists/elena-pankova,19
/exhibitions/2008/joe-bradley-schmagoo-paintings-october-25-november-30-2008,19
/exhibitions/2004/lily-ludlow-and-marcella-mullins-the-somnus-collection-2005-september-10-15-2004,18
/exhibitions/2010/matt-greene-allison-schulnick-ruby-neri-and-matthew-ronay-june-4-july-11,18
/artists/david-askevold,17
/updates,17
/artists/wallace-whitney,16
/exhibitions/2010/material-issue-and-other-matters-jess-fuller-robert-janitz-suzanne-goldenberg-lauren-luloff-and-josh-blackwell-september-9-october-10,15
/exhibitions/2012/hot-time-tub-machine-june-21-july-22,15
/artists/anke-weyer,14
/exhibitions/2006/cmyk-matt-connors-rochelle-feinstein-monica-moran-june-9-july-9-2006,14
/artist/joe_bradley/,12
/artists/luke-murphy,11
/exhibitions/2005/seven-thousand-years-of-war-sarah-braman-phil-grauer-aidas-bareikis-april-16-may-15,11
/artists/devendra-banhart,10
/artists/joe-bradley/press-2,10
/exhibitions/2009/spaced-out-on-time-a-group-show-with-joan-brown-sadie-laska-chris-martin-katherine-berhhardt-otis-houston-jr-dona-nelson-and-agathe-snow,10
/press/2004/artforum-gedi-sibony-he-qualities-depend-on-other-qualities,9
/artist/rosson_crow/,8
/exhibitions/2009/art-basel-miami-beach-joe-bradley-booth-d-30-december-3-6-2009,8
/exhibitions/2011/free-soil-aidas-bareikis-huma-bhabha-jeff-davis-anya-kielar-lily-ludlow-keith-mcculloch-robin-peck-may-8-june-12,8
/artists/david-askevold/resume,7
/artists/jocelyn-shipley,7
/Artists/sarah-braman,7
/Artists/xylor-jane,7
/exhibitions/2012/michael-mahalchick-march-7-april-8th,7
/Artists/matt-connors,6
/exhibitions/2006/the-lovers-carolina-caycedo-michael-linares-jesus-bubu-negron-chemi-rosado-seijo-courtesy-of-galeria-comercial-san-juan-puerto-rico-march-8-april-8-2006,6
/exhibitions/2011/dadarhea-february-25-march-20,6
/artists/frankie-martin,5
/artists/joanna-malinowska/resume,5
/artists/matt-connors/resume,5
/exhibitions/2005/i-throw-herring-to-the-dog-curated-by-lillian-ludlow-and-marcella-mullins-june-24-july-31,5
/Artists/carrie-moyer,4
/artists/carrie-moyer/resume-2,4
/artists/michael-williams/resume,4
/exhibitions/2004/rosson-crow-estate-between-september-18-october-17-2004,4
/exhibitions/2011/michael-williams-straightforward-as-a-noodle,4
/exhibitions/2012/xylor-jane-307-am-april-may-2012,4
/press/2006/the-new-york-times-joe-bradleykurgan-waves,4
/archives/668,3
/artists/jocelyn-shipley/resume,3
/artists/joe-bradley/resume,3
/artists/michael-mahalchick/resume-2,3
/exhibitions/2003/two-hanks-by-david-askevold-and-new-work-by-robin-peck-may-2-june-8-2003,3
/exhibitions/2006/xylor-jane-dying-everyday-october-11th-nov-6th-2006,3
/exhibitions/2007/anke-weyer-hogs-and-dogs-on-fire-may-18-june-17,3
/exhibitions/2007/brian-belott-swirly-music-nov-29-2007-jan-13-2008,3
/exhibitions/2009/xylor-jane-n-d-e-february-26-march-29,3
/exhibitions/2010/new-york-gallery-week,3
/exhibitions/2011/carrie-moyer-september-14-2011,3
/exhibitions/2011/joe-bradley-human-form-january-13-february-21,3
/exhibitions/2011/lily-ludlow-october-20-december-2011,3
/press,3
/press/2012-2/modern-painters-sarah-braman,3
/archives/1831,2
/archives/4407,2
/Artists/anke-weyer,2
/artists/anke-weyer/resume,2
/artists/brian-belott/resume,2
/Artists/robin-peck,2
/artists/robin-peck/resume,2
/artists/xylor-jane/resume,2
/exhibitions/2005/david-askevold-the-immediate-landscape-may-20-june-19,2
/exhibitions/2005/xylor-jane-robin-peck-and-luke-murphy-dec-11-jan-16,2
/exhibitions/2006/action-adventure-video-group-show-organized-by-michael-williams-melissa-brown-and-josh-kline-july-13-august-14action-adventure-video-group-show-organized-by-michael-williams-melissa-brown-and-jo,2
/exhibitions/2006/elena-pankova-peripheral-vision-september-8-october-8-2006,2
/exhibitions/2006/garry-neill-kennedy-and-joanna-malinowska-shit-happens-in-search-of-the-miraculous-continued-april-29-june-4-2006,2
/exhibitions/2008/david-askevold-three-easy-pieces-february-1-march-9-2008,2
/exhibitions/2008/journey-to-the-center-of-uranus-july-11-august-10-2008,2
/exhibitions/2009/summer-screenings-with-frankie-martin-darren-floyd-allen-cordell-cecilia-dougherty-liz-windelbo-ben-coonley-larissa-velez-james-fotopoulos-and-more,2
/exhibitions/2010/upcoming-elena-pankova-anke-weyer-january-28-march-7-2010,2
/press/2009/the-new-york-times-michael-mahalchick-for-what-its-worth-michael-mahalchick-for-what-its-worth-january-23-february-22,2
/subscribe/post?u=f55caeef42&id=4ddf260db3,2
/?preview=true&preview_id=3&preview_nonce=150a340c2e,1
/archives/1815,1
/archives/1825,1
/archives/3138,1
/archives/3211,1
/archives/676,1
/artist/bradley/,1
/artist/brian_belott/,1
/artist/david_askevold/,1
/artist/katherine_bernhardt/,1
/artist/matt__connors/,1
/artist/michael_mahalchick/,1
/artist/michael_williams/,1
/artist/sarah_braman,1
/artist/sarah_braman/,1
/artist/xylor_jane,1
/Artists/elena-pankova,1
/artists/elena-pankova/press,1
/Artists/frankie-martin,1
/Artists/joanna-malinowska,1
/artists/joanna-malinowska/press,1
/Artists/katherine-bernhardt,1
/artists/katherine-bernhardt/resume,1
/artists/matt-connors/press,1
/artists/sarah-braman/resume,1
/do/spg/show_picture.pl?c=bottom_frame&u=http://www.canadanewyork.com/artists/david-askevold&udata=5c6139c34a3f24f8fbff980ab97fadd7&sp=ab18ce8d0cb52d45fc2868028b8a4815&ts=MTM2NDU0OTQ5NA==,1
/exhibitions/2004/devendra-banhart-lily-ludlow-and-elena-pankova-yesteryear-june-5-july-18-2004,1
/exhibitions/2004/jelly-jmy-leary-emily-tepper-and-luciana-achugar-perform-three-separate-dance-events-on-friday-january-23,1
/exhibitions/2005/airbrains-and-juiceboxxx-live-performance-friday-march-11th-2005-books_rave_folk,1
/exhibitions/2005/brian-belott-books-books-books-books-books-books-and-books-march-11-april-10,1
/exhibitions/2005/michael-mahalchick-unnatural-desires-october-20-december-4,1
/exhibitions/2005/new-yorks-finest-january-29-march-5,1
/exhibitions/2006/joe-bradley-kurgan-waves-january-27-march-4-2006,1
/exhibitions/2006/rosson-crow-hotel-and-lounge-november-11th-december-2006,1
/exhibitions/2007/carrie-moyer-the-stone-age-january-7-february-11,1
